batch,total_chains,elapsed_sec,ks_stat,converged,eta_mean,eta_sd
1,4,124.25100000000003,0.3160874999998974,FALSE,0.7713764155742253,0.2097632328390574
2,8,245.291,0.3458625000000125,FALSE,0.7889186003281663,0.1928247417186939
3,12,372.036,0.2967374999997285,FALSE,0.7684606714286619,0.20200711687074727
4,16,497.15700000000004,0.3195531249997348,FALSE,0.778945521421611,0.19633609322216614
5,20,622.759,0.32198749999955095,FALSE,0.7798610536378199,0.19300685248688676
6,24,747.539,0.3129166666662767,FALSE,0.7758706843321578,0.19437226775470345
7,28,874.597,0.31659999999959504,FALSE,0.7778401430255518,0.19139891215415392
8,32,999.655,0.3270421875002986,FALSE,0.7826468416266776,0.18861089900168107
9,36,1120.5040000000001,0.3310430555558495,FALSE,0.7842490308502731,0.18691772193106776
10,40,1251.903,0.3230750000002126,FALSE,0.7798308001319798,0.19118505032716246
